Experience Level,Min. Salary Estimate (in thousands of $),Max. Salary Estimate (in thousands of $)
Senior Data Scientist,111,181 
Data Science Manager,111,181 
Senior Data Engineer (Healthcare Domain experience required),111,181 
Credit Analytics Manager,119,147 
Senior Data Scientist,74,124 
Senior Data Scientist - Automated Marketing,74,124 
Senior Data Scientist,102,121 
Senior Data Scientist,102,121 
Senior Data Scientist,102,121 
Senior Data Scientist,129,210 
Senior Data Scientist,156,254 
Sr. Data Scientist,156,254 
Senior Data Scientist,156,254 
Senior Data Scientist,156,254 
Senior Data Scientist,156,254 
Senior Data Scientist,156,254 
Senior Data Engineer,156,254 
Senior Data Scientist,156,254 
Senior Data Scientist,119,147 
Sr. Data Scientist II,119,147 
Senior Data Scientist - R&D Oncology,119,147 
Data Scientist Product Manager,119,147 
Senior Data Scientist,119,147 
Senior Data Scientist,119,147 
Senior Data Scientist,119,147 
Sr Data Scientist,119,147 
 Treasury Product Manager",116,152 
Sr. Data Scientist,116,152 
Sr Data Scientist,133,171 
Data Science & Analytics Manager,133,171 
Senior Data Scientist,133,171 
Senior Data Scientist,133,171 
Senior Data Scientist - Ads Analytics / Machine Learning,110,139 
Senior Data Scientist,110,139 
Sr. Data Scientist,110,139 
Senior Data Scientist,110,139 
Sr. Data Scientist,82,141 
Senior Data Scientist,82,141 
Senior Data Scientist - Central Product Insights,82,141 
Sr Data Scientist,82,141 
Sr. Principal Metrics Analyst- Data Scientist,82,141 
Senior Data Scientist,82,141 
Senior Data Scientist - Algorithms,96,119 
Senior Big Data Engineer & Data Scientist (Apps Systems Engineer 6),96,119 
eCommerce Analytics Manager,96,119 
Senior Data Scientist,96,119 
Senior Data Scientist,96,119 
Senior Data Scientist,96,119 
Senior Data Scientist,96,119 
Senior Data Scientist,96,119 
Senior Data Scientist,102,164 
Junior Data Scientist,102,164 
Senior Data Scientist,102,164 
Senior Data Scientist,102,164 
Senior Data Scientist,102,164 
Senior Data Scientist,113,180 
Senior Data Scientist,113,180 
Senior Data Scientist,113,180 
Senior Data Scientist,113,180 
Senior Data Analyst,113,180 
Senior Data Scientist,113,180 
Sr. Data Analyst — US Safety,76,122 
Sr. Data Scientist,76,122 
Senior Data Scientist,76,122 
Sr. Data Scientist,76,122 
Senior Data Engineer/Data Scientist,76,122 
Research Scientist/Senior Scientist,134,218 
Sr Robotics Scientist,134,218 
Sr. Data Analyst,134,218 
Digital Analytics Manager,134,218 
Senior Data Scientist,134,218 
Junior Data Analyst,134,218 
Senior Data Analyst,134,218 
Senior Data Analyst,76,125 
Sr. Business Intelligence Analyst,76,125 
Business Analytics Manager,76,125 
Senior Data Scientist,76,125 
Sr. Data Scientist,76,125 
Senior Data Analyst - User Growth,76,125 
Senior Data Analyst,76,125 
Behavioral Data Science Manager,132,208 
First Data Hire for IoT Startup: Manager level Data Scientist/Engineer,132,208 
Sr. Data Scientist,132,208 
Senior Data Scientist,132,208 
Sr. Data Scientist,132,208 
Senior Data Scientist - Nationwide Opportunities,132,208 
Senior Data Analyst,132,208 
Senior Data Analyst,83,105 
Sr Data Analyst,83,105 
Senior Data Analyst,83,105 
Sr Data Engineer (AWS),83,105 
Sr. Data Scientist,83,105 
Senior Data Scientist,83,105 
Analytics Manager (Web / Social),83,105 
Sr. Data Analyst,75,143 
Sr. Data Analyst,75,143 
Operation Analytics Manager,34,72 
Air Compliance Engineer/Scientist (Mid to Senior),34,72 
Operation Analytics Manager,37,75 
 Senior",37,75 
VP of Data Science & Analytics,37,75 
Analytics Manager,113,184 
Associate Scientist - Sensory - Jr (Daily/Weekly OT),113,184 
Senior Research Scientist,113,184 
Senior Data Analyst,113,184 
Senior Data Engineer - Information Security,113,184 
Sr. Data Engineer - HBO Max,113,184 
Senior Data Analyst,113,184 
Sr. Data Analyst,136,164 
Call Center Analytics Manager,136,164 
Data Analyst Manager,136,164 
Sr Data Analyst (DW),136,164 
Senior Data Engineer,136,164 
Sr Predictive Analytics Manager,136,164 
Operation Analytics Manager,136,164 
Senior Customer Data Analyst : 20,136,164 
Senior Applied Machine Learning Engineer,136,164 
Data Analyst Junior,136,164 
Sr Data Engineer,136,164 
Senior Data Scientist (Experimentation),79,130 
Entry Level / Jr. Data Analyst,79,130 
Senior Data Scientist,79,130 
Senior Data Scientist,91,105 
Sr. Data Scientist,91,105 
Sr. Data Scientist (Multiple Openings),91,105 
Junior Data Analyst,91,105 
Senior Data Scientist,91,105 
Senior Quantitative Analyst,31,56 
Sr Data Scientist,31,56 
Senior Data Scientist,31,56 
Sr. Data Engineer,31,56 
Senior Scientist-Wind Vulnerability,31,56 
Sr Quantitative Analyst,39,81 
Senior Global Data Analyst / Power BI Dashboard Developer,39,81 
Senior Data Scientist,39,81 
Sr. Data Analyst,39,81 
Senior Data Scientist,39,81 
Senior Data Scientist - Telecommute,39,81 
Senior Python Data Scientist,99,174 
Junior Data Analyst,99,174 
Data Scientist Sr. - Conversation Designer & NLP Analyst,99,174 
Senior Data Scientist - Nationwide Opportunities,99,174 
Sr. Decision Scientist,99,174 
Sr. Data Scientist,76,147 
Data Scientist - Sr. Analyst,76,147 
Senior Data Scientist,76,147 
Sr Data Scientist,76,147 
Senior Data Analyst,76,147 
Senior Data Scientist,76,147 
Senior Research Data Analyst,76,147 
Senior Data & Machine Learning Scientist,62,109 
Senior Data & Machine Learning Scientist,62,109 
Senior Data Scientist,62,109 
Senior Data Analyst,62,109 
Senior Data Analyst,62,109 
Senior Data Scientist,62,109 
Sr. Data Visualization Developer,62,109 
Senior HFT Futures Quantitative Research Scientist,62,109 
Sr. Data Scientist,62,109 
Director of Data Science,62,109 
Senior Data Analyst,62,109 
Director of Data Science,62,109 
Data Scientist- Senior Advisor,70,123 
Talent Acquisition Vendor & Analytics Manager - Virtual,70,123 
Jr. Business Intelligence Analyst,40,73 
Analytics Manager,40,73 
Environmental Scientist/Engineer (Jr. Level),40,73 
Data Analytics Manager,40,73 
Pricing Strategy and Analytics Manager,38,59 
 Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",38,59 
Data Analytics Manager,38,59 
Senior Big Data Engineer - QuantumBlack,38,59 
Senior Environmental Soil Scientist,38,59 
Senior Digital Analytics Consultant,60,105 
Senior Data Analyst,60,105 
Junior Imaging Scientist,60,105 
Senior Data Engineer,60,105 
Senior Google Analytics Manager,60,105 
Senior Manager- Data science/Operations research- Analytics & AI,60,105 
Senior Data Analyst,60,105 
Senior Environmental Research Scientist,69,144 
 Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",69,144 
Junior Imaging Scientist,69,144 
Publicis Media - Senior Data Consultant (m/f/d) - Düsseldorf,69,144 
Senior Data Analyst,47,82 
Sr. Data Scientist/AI Scientist,47,82 
Senior Data Analyst,47,82 
Valuation & Business Analytics Manager,47,82 
Senior Data Scientist,90,175 
Senior Data Scientist,39,87 
Sr. Data Scientist,39,87 
Senior Data Scientist - Nationwide Opportunities,36,71 
Sr Scientist - Research & Advanced Development,36,71 
SR Data Scientist,55,117 
Sr. Machine Learning Engineer,55,117 
Data Analyst Manager,55,117 
Data and Analytics Manager,55,117 
Senior Analytical Scientist,55,117 
Senior Data Scientist with Extensive Industrial Experience,114,144 
Senior Scientist (Process Development Downstream),114,144 
Senior Manager- Data science/Operations research- Analytics & AI,114,144 
Sr. Data Engineer,114,144 
Business Intelligence Analytics Manager,114,144 
Senior Data Analyst,114,144 
Data Science Manager,138,217 
Senior Data Analyst,138,217 
Sr. Data Engineer,138,217 
Lead Big Data Engineer / Architect - Director,138,217 
Sr. IoT Data Scientist - AWS Professional Services,138,217 
Manufacturing Science and Technology Senior Scientist (Viral Vector),138,217 
Senior Data Engineer,138,217 
Data Analytics Manager,138,217 
Program Manager (TTI Associate Research Scientist),138,217 
Workforce & Data Analytics Manager (Call Center Experience Required),138,217 
Senior HFT Futures Quantitative Research Scientist,72,97 
Data Engineering Manager,72,97 
Valuation & Business Analytics Manager,72,97 
Sr Data Engineer,72,97 
Senior Business Intelligence Analyst,72,97 
 Financial Services Risk Management - Structured Finance - Financial Services Office (Senior) (Multiple Positions)",73,136 
Federal - Data Engineer - Senior,73,136 
Senior Research Scientist Specializing in Machine Learning,73,136 
Senior Data Engineer,73,136 
Sr. Data Analyst,73,136 
Manufacturing Science and Technology Senior Scientist (Viral Vector),73,136 
Senior Data Engineer,73,136 
Sr Big Data Engineer,73,136 
Sr. Data Engineer,73,136 
Strategic Business Analytics Manager,73,136 
Senior Data Engineer - C3.ai,73,136 
Senior Data Analyst,94,151 
Sr. Data Scientist II,97,159 
Director Data Scientist - Data Science Hub,97,159 
Jr. Data Scientist/Engineer,97,159 
Senior Data Scientist,97,159 
Sr Data Scientist,97,159 
Senior Director of Data Science,97,159 
Sr Data Analyst,46,104 
Business Intelligence & Analytics Manager,46,104 
Sr. Data Engineer,46,104 
Senior Data Analyst,46,104 
Sr Applied Scientist,46,104 
Senior Data Engineer (ASE5) Asset and Liability Technology Wells Fargo Corporate Treasury,45,81 
Sr. Business Intelligence Analyst- Power BI,45,81 
Principal/Senior Data Scientist,45,81 
SRO BI & Analytics Manager,92,144 
Revenue Management and Strategic Analytics Manager,92,144 
Data Scientist SR,92,144 
Senior Big Data Engineer,92,144 
 Manager (Global Data and Analytics))",64,97 
Senior Data Analyst,64,97 
Sr Marketing Analytics Manager (Individual Contributor),64,97 
Jr. Data Engineer,64,97 
Epic BI & Analytics Manager-Remote,47,73 
Senior User Experience Research Scientist,47,73 
Senior Data Analyst w/ Collibra,47,73 
Senior Business Intelligence Data Analyst,47,73 
Senior Data Engineer,47,73 
Senior Thermal Modeling Engineer,47,73 
Epic BI & Analytics Manager-Remote,47,73 
Data & Analytics Manager,47,73 
Senior Data Engineer,47,73 
Senior Big Data Analyst,47,73 
Data Analyst Senior,47,73 
Senior Data Analyst,84,156 
Senior Data Engineer,84,156 
Senior Data Analyst,84,156 
Adobe Analytics Manager,84,156 
Sr. Data Engineer,84,156 
Federal - Data Engineer - Senior,84,156 
Senior Java Visualization Data Engineer,84,156 
Senior Data Analyst,84,156 
Senior Data Analyst,84,156 
Senior Java Visualization Data Engineer,84,156 
Senior Data Engineer,97,111 
Senior Data Engineer,97,111 
Senior Data Science Consultant,97,111 
Sr Data Engineer (memSql),97,111 
Director of Data Science,97,111 
Sr Data Engineer,97,111 
Senior Data Engineer - Apps Systems Engineer 5,84,101 
Cyber Security Research Scientist 3 - Sr. Application Pentester,84,101 
Senior Data Engineer,84,101 
Sr. Data Engineer,84,101 
Senior Data Engineer,84,101 
Senior Data Engineer (TS/SCI with Polygraph),84,101 
Senior Data Science Consultant,84,101 
Senior Data Engineer,84,101 
Senior Data Engineer,84,101 
Sr. Data Engineer with Strong Python,84,101 
Cloud Data Engineer - Senior Solution Specialist - USDC,99,173 
Sr Big Data Engineer,99,173 
Sr. Big Data Engineer,99,173 
Senior Data Scientist,93,151 
Sr Data Analyst,93,151 
Senior Data Scientist,50,87 
Senior Data Scientist,50,87 
Senior Data Scientist,50,87 
Bioprocess Scientist/Senior Bioprocess Scientist,71,117 
Sr. Data Scientist,71,117 
Senior Data Scientist,71,117 
Junior Data Analyst,71,117 
Sr. Data Analyst,44,80 
Junior Data Analyst,44,80 
Sr Data Analyst,44,80 
Senior Data Scientist / Artificial Intelligence / Machine Learning / AI/ML Scientist,44,80 
Senior Healthcare Data Analyst,44,80 
Sr. Data Scientist,44,80 
 Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",44,80 
Senior Data Engineer,94,166 
Sr Decision Scientist,94,166 
 Neuroscience (Director level)",94,166 
Senior Marketing Data Scientist II,94,166 
Senior Research Scientist,94,166 
Sr. Scientist. Small Molecule Bioanalysis LCMS,65,100 
Neuroimaging Data Analyst Junior,65,100 
Formulation development Sr Scientist,65,100 
Sr. Principal Software Cloud Streaming Data Engineer,46,83 
Molecular Engineering Senior Research Scientist,46,83 
Sr. Consultant Data Engineer,46,83 
Clinical Scientist Associate Director,46,83 
Senior GMP Analytical Scientist,46,83 
Director of Health Data Science,46,83 
Senior Big Data Consultant,46,83 
HT Downstream Sr Scientist,46,83 
Senior Principal Scientist / Associate Director - Translational Sciences,46,83 
 Haem Onc (Director level)",46,83 
Senior Software Engineer (Data Platform),46,83 
Sr Research Scientist- Ocular,46,83 
Senior Analytical Scientist/Process and Technology Development,46,83 
Junior Data Analyst - SQL Programmer,45,106 
Analytics Manager,45,106 
Director Data Strategy,45,106 
Senior Data Analyst,45,106 
Senior Data Analyst,45,106 
Senior Healthcare Data Analyst - Multiple Positions,71,122 
PD Downstream Sr Scientist,71,122 
Director of Health Data Science,71,122 
Sr. Principal Software Cloud Streaming Data Engineer,71,122 
QC Analytical Scientist or Senior QC Analytical Scientist,71,122 
Senior Data Scientist with experience in life sciences data specifically in commercial,143,237 
Sr Scientist,143,237 
Sr. Research Scientist-Liver,143,237 
Senior Cyber Applied Research Scientist (CH),143,237 
Sr. Research Scientist CNS,143,237 
Vector Optimization Senior Research Scientist,143,237 
VP -- US Consumer Digital Prospecting Data Scientist,143,237 
Director of Quantitative Research,70,154 
Senior Quantitative Researcher,70,154 
Senior Product Development Scientist / Pharmaceutical Sterile Products,68,89 
Senior Scientist-UV Coatings,68,89 
SR BUSINESS DATA ANALYST PRN,55,101 
Downstream Sr. Scientist,55,101 
Process Development Downstream Sr. Scientist,55,101 
Senior Managing Consultant - Data Science,55,101 
Process Scientist/Senior Process Scientist,55,101 
Senior Upstream Processing Scientist,55,101 
Senior Data Analyst,55,101 
Clinical Safety and Risk Management CSRM Medical Associate / Senior Scientist,55,101 
Director Data Scientist - Data Science Hub,98,152 
Sr. Tech Svc Scientist (I),98,152 
Business Intelligence Analyst Senior,98,152 
Senior Data Scientist,54,92 
Sr. Data Scientist with SAS,54,92 
Sr Data Engineer,54,92 
Business Intelligence Analyst Senior (Chief Financial Office),54,92 
Federal - Senior Machine Learning Engineer,54,92 
Federal - Senior Machine Learning Engineer,54,92 
Business Intelligence Analyst Senior - Marketing,74,140 
LEAD COMPUTER SCIENTIST - SR. COMPUTER SCIENTIST - SPACE DATA SYSTEMS,74,140 
Data Scientist (Sr.),74,140 
Sr. Fraud Risk Quantitative Analyst,74,140 
Senior Data Analyst,74,140 
Federal - Data Engineer - Senior,83,154 
Senior Data Analyst,83,154 
Federal - Senior Machine Learning Engineer,83,154 
Sr. Scientist/Engineer,83,154 
Senior Contract Data Analyst,83,154 
Senior Contract Data Analyst,83,154 
RESEARCH COMPUTER SCIENTIST - SR. COMPUTER SCIENTIST - SIGNAL PROCESSING,52,91 
Senior Technical Services Specialist/Scientist,52,91 
Business Intelligence Analyst Senior (Chief Financial Office),52,91 
Senior Data Engineer,52,91 
Senior Social Scientist,52,91 
Senior Data Analyst,52,91 
Manager of Data Science,52,91 
LEAD ENGINEER - SR. COMPUTER SCIENTIST - SR. RESEARCH ENGINEER - UNMANNED SYSTEMS,52,91 
Senior Data Engineer,52,91 
Senior Data Engineer,52,91 
Business Intelligence Analyst Senior - Marketing,43,76 
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SIGNAL PROCESSING,43,76 
Senior Data Science Analyst,43,76 
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. RESEARCH ENGINEER - INDUSTRIAL ROBOTICS,43,76 
Senior Data Modeler,43,76 
Sr. Tech Svc Scientist (I),43,76 
Sr. Principal Data Scientist,114,146 
Senior Data Scientist,60,124 
Sr. Applied Scientist,60,124 
Marketing Return Analytics Manager,60,124 
Sr. Scientist,46,82 
Junior Data Analyst,46,82 
Senior Data Scientist,46,82 
Staff/ Sr.Staff Scientist - Assay On Market Support And Development,46,82 
Senior Data Scientist,46,82 
Senior Data Analyst,46,82 
Sr Staff Scientist,83,165 
Sr. Data Scientist,83,165 
 Senior",83,165 
Sr. Data Scientist,83,165 
Senior Consulting Data Analyst,83,165 
Jr. Big Data Engineer,83,165 
Senior Scientist (REPOSTED 07/13/2020),83,165 
Senior Data Analyst,83,165 
Senior Machine Learning Engineer,71,122 
Senior Bioprocess Scientist - Fermentation,39,69 
Sr. Data Analyst,39,69 
