Company Size,Min. Salary Estimate (in thousands of $),Max. Salary Estimate (in thousands of $)
501 to 1000 employees, 111,181
1001 to 5000 employees, 111,181
1 to 50 employees, 111,181
201 to 500 employees, 111,181
51 to 200 employees, 111,181
201 to 500 employees, 111,181
51 to 200 employees, 111,181
1 to 50 employees, 111,181
1 to 50 employees, 111,181
501 to 1000 employees, 111,181
201 to 500 employees, 111,181
51 to 200 employees, 111,181
1001 to 5000 employees, 111,181
1001 to 5000 employees, 111,181
1001 to 5000 employees, 111,181
51 to 200 employees, 111,181
501 to 1000 employees, 111,181
1001 to 5000 employees, 111,181
501 to 1000 employees, 111,181
51 to 200 employees, 111,181
10000+ employees, 111,181
1001 to 5000 employees, 111,181
201 to 500 employees, 111,181
51 to 200 employees, 111,181
51 to 200 employees, 111,181
1001 to 5000 employees, 111,181
1001 to 5000 employees, 111,181
10000+ employees, 111,181
1 to 50 employees, 111,181
10000+ employees, 111,181
51 to 200 employees, 120,140
5001 to 10000 employees, 120,140
201 to 500 employees, 120,140
1001 to 5000 employees, 120,140
201 to 500 employees, 120,140
1001 to 5000 employees, 120,140
201 to 500 employees, 120,140
501 to 1000 employees, 120,140
201 to 500 employees, 120,140
51 to 200 employees, 120,140
1 to 50 employees, 120,140
201 to 500 employees, 120,140
501 to 1000 employees, 120,140
10000+ employees, 120,140
51 to 200 employees, 120,140
501 to 1000 employees, 120,140
1 to 50 employees, 120,140
501 to 1000 employees, 120,140
51 to 200 employees, 120,140
1001 to 5000 employees, 120,140
10000+ employees, 120,140
501 to 1000 employees, 120,140
1 to 50 employees, 120,140
10000+ employees, 120,140
1001 to 5000 employees, 120,140
10000+ employees, 120,140
10000+ employees, 120,140
10000+ employees, 120,140
1001 to 5000 employees, 119,147
1 to 50 employees, 119,147
201 to 500 employees, 119,147
10000+ employees, 119,147
1001 to 5000 employees, 119,147
201 to 500 employees, 119,147
51 to 200 employees, 119,147
10000+ employees, 119,147
51 to 200 employees, 119,147
201 to 500 employees, 119,147
1001 to 5000 employees, 119,147
1 to 50 employees, 119,147
201 to 500 employees, 74,124
201 to 500 employees, 74,124
1001 to 5000 employees, 74,124
10000+ employees, 74,124
10000+ employees, 74,124
1001 to 5000 employees, 74,124
1001 to 5000 employees, 74,124
1001 to 5000 employees, 74,124
10000+ employees, 74,124
1 to 50 employees, 74,124
1001 to 5000 employees, 74,124
1001 to 5000 employees, 74,124
1 to 50 employees, 74,124
10000+ employees, 74,124
10000+ employees, 74,124
201 to 500 employees, 74,124
10000+ employees, 74,124
1 to 50 employees, 74,124
10000+ employees, 74,124
10000+ employees, 74,124
51 to 200 employees, 74,124
501 to 1000 employees, 74,124
1001 to 5000 employees, 74,124
1001 to 5000 employees, 74,124
1 to 50 employees, 74,124
1 to 50 employees, 74,124
51 to 200 employees, 102,121
1 to 50 employees, 102,121
51 to 200 employees, 102,121
5001 to 10000 employees, 102,121
1 to 50 employees, 102,121
1 to 50 employees, 102,121
201 to 500 employees, 102,121
1001 to 5000 employees, 102,121
10000+ employees, 102,121
501 to 1000 employees, 102,121
10000+ employees, 102,121
201 to 500 employees, 102,121
201 to 500 employees, 102,121
1001 to 5000 employees, 102,121
1001 to 5000 employees, 102,121
1 to 50 employees, 102,121
1 to 50 employees, 102,121
1001 to 5000 employees, 102,121
10000+ employees, 102,121
1 to 50 employees, 102,121
1001 to 5000 employees, 102,121
1 to 50 employees, 102,121
1 to 50 employees, 102,121
501 to 1000 employees, 102,121
1001 to 5000 employees, 102,121
1 to 50 employees, 129,210
1001 to 5000 employees, 129,210
1 to 50 employees, 129,210
1 to 50 employees, 129,210
1001 to 5000 employees, 129,210
1001 to 5000 employees, 129,210
1001 to 5000 employees, 129,210
1 to 50 employees, 129,210
10000+ employees, 129,210
1 to 50 employees, 129,210
201 to 500 employees, 129,210
51 to 200 employees, 129,210
1 to 50 employees, 129,210
1 to 50 employees, 129,210
10000+ employees, 129,210
1001 to 5000 employees, 129,210
10000+ employees, 129,210
1001 to 5000 employees, 129,210
501 to 1000 employees, 129,210
1 to 50 employees, 129,210
501 to 1000 employees, 129,210
501 to 1000 employees, 129,210
10000+ employees, 129,210
1001 to 5000 employees, 129,210
201 to 500 employees, 129,210
10000+ employees, 129,210
201 to 500 employees, 156,254
51 to 200 employees, 156,254
1 to 50 employees, 156,254
10000+ employees, 156,254
10000+ employees, 156,254
10000+ employees, 156,254
1 to 50 employees, 156,254
501 to 1000 employees, 156,254
1001 to 5000 employees, 156,254
5001 to 10000 employees, 156,254
201 to 500 employees, 156,254
1 to 50 employees, 156,254
1 to 50 employees, 156,254
51 to 200 employees, 156,254
51 to 200 employees, 156,254
51 to 200 employees, 156,254
1001 to 5000 employees, 156,254
10000+ employees, 156,254
501 to 1000 employees, 156,254
201 to 500 employees, 156,254
1 to 50 employees, 156,254
10000+ employees, 119,147
10000+ employees, 119,147
51 to 200 employees, 119,147
51 to 200 employees, 119,147
201 to 500 employees, 119,147
51 to 200 employees, 119,147
51 to 200 employees, 119,147
501 to 1000 employees, 119,147
1001 to 5000 employees, 119,147
1 to 50 employees, 119,147
1 to 50 employees, 119,147
1001 to 5000 employees, 119,147
10000+ employees, 119,147
1 to 50 employees, 119,147
1001 to 5000 employees, 119,147
1 to 50 employees, 119,147
51 to 200 employees, 119,147
501 to 1000 employees, 119,147
1 to 50 employees, 119,147
1001 to 5000 employees, 119,147
1001 to 5000 employees, 119,147
10000+ employees, 119,147
1 to 50 employees, 119,147
1 to 50 employees, 119,147
1 to 50 employees, 119,147
1001 to 5000 employees, 119,147
201 to 500 employees, 119,147
201 to 500 employees, 119,147
1001 to 5000 employees, 119,147
10000+ employees, 119,147
1001 to 5000 employees, 116,152
10000+ employees, 116,152
201 to 500 employees, 116,152
1001 to 5000 employees, 116,152
10000+ employees, 116,152
501 to 1000 employees, 116,152
10000+ employees, 116,152
1 to 50 employees, 116,152
10000+ employees, 116,152
501 to 1000 employees, 116,152
51 to 200 employees, 116,152
10000+ employees, 116,152
10000+ employees, 116,152
51 to 200 employees, 116,152
51 to 200 employees, 116,152
10000+ employees, 116,152
201 to 500 employees, 116,152
1001 to 5000 employees, 133,171
10000+ employees, 133,171
1 to 50 employees, 133,171
201 to 500 employees, 133,171
201 to 500 employees, 133,171
51 to 200 employees, 133,171
1 to 50 employees, 133,171
201 to 500 employees, 133,171
10000+ employees, 133,171
51 to 200 employees, 133,171
1001 to 5000 employees, 133,171
1 to 50 employees, 133,171
201 to 500 employees, 133,171
1001 to 5000 employees, 110,139
10000+ employees, 110,139
10000+ employees, 110,139
1 to 50 employees, 110,139
501 to 1000 employees, 110,139
51 to 200 employees, 110,139
1001 to 5000 employees, 110,139
1001 to 5000 employees, 110,139
1001 to 5000 employees, 110,139
501 to 1000 employees, 110,139
10000+ employees, 110,139
